ALU_operation a      b     | result  zero
0000          11010  00000 | 00000   1
0000          11010  00001 | 00000   1
0000          11010  00010 | 00010   0
0000          11010  00011 | 00010   0
0000          11010  00100 | 00000   1
0000          11010  00101 | 00000   1
0000          11010  00110 | 00010   0
0000          11010  00111 | 00010   0
0000          11010  01000 | 01000   0
0000          11010  01001 | 01000   0
0000          11010  01010 | 01010   0
0000          11010  01011 | 01010   0
0000          11010  01100 | 01000   0
0000          11010  01101 | 01000   0
0000          11010  01110 | 01010   0
0000          11010  01111 | 01010   0
0000          11010  10000 | 10000   0
0000          11010  10001 | 10000   0
0000          11010  10010 | 10010   0
0000          11010  10011 | 10010   0
0000          11010  10100 | 10000   0
0000          11010  10101 | 10000   0
0000          11010  10110 | 10010   0
0000          11010  10111 | 10010   0
0000          11010  11000 | 11000   0
0000          11010  11001 | 11000   0
0000          11010  11010 | 11010   0
0000          11010  11011 | 11010   0
0000          11010  11100 | 11000   0
0000          11010  11101 | 11000   0
0000          11010  11110 | 11010   0
0000          11010  11111 | 11010   0
------------------------------------------
0001          11010  00000 | 11010   0
0001          11010  00001 | 11011   0
0001          11010  00010 | 11010   0
0001          11010  00011 | 11011   0
0001          11010  00100 | 11110   0
0001          11010  00101 | 11111   0
0001          11010  00110 | 11110   0
0001          11010  00111 | 11111   0
0001          11010  01000 | 11010   0
0001          11010  01001 | 11011   0
0001          11010  01010 | 11010   0
0001          11010  01011 | 11011   0
0001          11010  01100 | 11110   0
0001          11010  01101 | 11111   0
0001          11010  01110 | 11110   0
0001          11010  01111 | 11111   0
0001          11010  10000 | 11010   0
0001          11010  10001 | 11011   0
0001          11010  10010 | 11010   0
0001          11010  10011 | 11011   0
0001          11010  10100 | 11110   0
0001          11010  10101 | 11111   0
0001          11010  10110 | 11110   0
0001          11010  10111 | 11111   0
0001          11010  11000 | 11010   0
0001          11010  11001 | 11011   0
0001          11010  11010 | 11010   0
0001          11010  11011 | 11011   0
0001          11010  11100 | 11110   0
0001          11010  11101 | 11111   0
0001          11010  11110 | 11110   0
0001          11010  11111 | 11111   0
------------------------------------------
0010          11010  00000 | 11010   0
0010          11010  00001 | 11011   0
0010          11010  00010 | 11100   0
0010          11010  00011 | 11101   0
0010          11010  00100 | 11110   0
0010          11010  00101 | 11111   0
0010          11010  00110 | 00000   1
0010          11010  00111 | 00001   0
0010          11010  01000 | 00010   0
0010          11010  01001 | 00011   0
0010          11010  01010 | 00100   0
0010          11010  01011 | 00101   0
0010          11010  01100 | 00110   0
0010          11010  01101 | 00111   0
0010          11010  01110 | 01000   0
0010          11010  01111 | 01001   0
0010          11010  10000 | 01010   0
0010          11010  10001 | 01011   0
0010          11010  10010 | 01100   0
0010          11010  10011 | 01101   0
0010          11010  10100 | 01110   0
0010          11010  10101 | 01111   0
0010          11010  10110 | 10000   0
0010          11010  10111 | 10001   0
0010          11010  11000 | 10010   0
0010          11010  11001 | 10011   0
0010          11010  11010 | 10100   0
0010          11010  11011 | 10101   0
0010          11010  11100 | 10110   0
0010          11010  11101 | 10111   0
0010          11010  11110 | 11000   0
0010          11010  11111 | 11001   0
------------------------------------------
0110          11010  00000 | 11010   0
0110          11010  00001 | 11001   0
0110          11010  00010 | 11000   0
0110          11010  00011 | 10111   0
0110          11010  00100 | 10110   0
0110          11010  00101 | 10101   0
0110          11010  00110 | 10100   0
0110          11010  00111 | 10011   0
0110          11010  01000 | 10010   0
0110          11010  01001 | 10001   0
0110          11010  01010 | 10000   0
0110          11010  01011 | 01111   0
0110          11010  01100 | 01110   0
0110          11010  01101 | 01101   0
0110          11010  01110 | 01100   0
0110          11010  01111 | 01011   0
0110          11010  10000 | 01010   0
0110          11010  10001 | 01001   0
0110          11010  10010 | 01000   0
0110          11010  10011 | 00111   0
0110          11010  10100 | 00110   0
0110          11010  10101 | 00101   0
0110          11010  10110 | 00100   0
0110          11010  10111 | 00011   0
0110          11010  11000 | 00010   0
0110          11010  11001 | 00001   0
0110          11010  11010 | 00000   1
0110          11010  11011 | 11111   0
0110          11010  11100 | 11110   0
0110          11010  11101 | 11101   0
0110          11010  11110 | 11100   0
0110          11010  11111 | 11011   0
